Date,BW Pull Ups s,BW Pull Ups r,BW Pull Ups w,Bench s,Bench r,Bench w,Curling Bar Squats s,Curling Bar Squats r,Curling Bar Squats w,Curls s,Curls r,Curls w,BW Wall Sits s,BW Wall Sits r,BW Wall Sits w,BW In Outs s,BW In Outs r,BW In Outs w,Military Press s,Military Press r,Military Press w,One Handed Curls Each Side s,One Handed Curls Each Side r,One Handed Curls Each Side w,Runs s,Runs r,Runs w,BW Push Ups s,BW Push Ups r,BW Push Ups w,Clean s,Clean r,Clean w,Bench Incline s,Bench Incline r,Bench Incline w,One Arm Dumbell Row s,One Arm Dumbell Row r,One Arm Dumbell Row w,Bent Over Barbell Row s,Bent Over Barbell Row r,Bent Over Barbell Row w,One Arm One Side Curls Each Side s,One Arm One Side Curls Each Side r,One Arm One Side Curls Each Side w,BW Perfect Push Ups s,BW Perfect Push Ups r,BW Perfect Push Ups w,Sqauts in Rack s,Sqauts in Rack r,Sqauts in Rack w,Lat Pull Downs s,Lat Pull Downs r,Lat Pull Downs w,BW One Legged Squats s,BW One Legged Squats r,BW One Legged Squats w
4/3/2015,4,15,160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/4/2015,3,15,160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/7/2015,,,,4,5,165,,,,2,5,85,2,15,160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/10/2015,2,10,151,,,,,,,,,,2,15,151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/11/2015,,,,,,,4,7,105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/12/2015,1,10,153,,,,,,,,,,,,,,,,,,,,,,0:24:59,2.2,153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/15/2015,,,,,,,,,,,,,,,,,,,,,,,,,0:23:09,2.2,154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/23/2015,3,10,151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/27/2015,3,10,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/28/2015,3,10,160,,,,,,,,,,,,,,,,,,,,,,0:25:02,2.2,160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/29/2015,1,10,160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/30/2015,,,,,,,,,,,,,,,,,,,,,,,,,0:22:30,2.2,160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/4/2015,2,10,160,,,,,,,,,,,,,,,,,,,,,,0:24:07,2.2,160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/6/2015,3,10,160,,,,,,,,,,,,,,,,,,,,,,0:22:43,2.2,160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/7/2015,3,10,160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/8/2015,2,15,160,4,5,165,,,,,,,,,,,,,,,,,,,0:24:18,2.2,160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/9/2015,4,10,160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/15/2015,2,12,160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/16/2015,1,10,160,3,8,125,,,,2,8,65,2,15,160,,,,,,,,,,0:28:24,2.2,160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/17/2015,1,12,160,,,,,,,,,,1,15,160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/18/2015,,,,,,,,,,,,,,,,,,,,,,,,,0:16:01,1.7,160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/22/2015,3,10,160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/24/2015,4,10,160,,,,,,,,,,,,,,,,,,,,,,0:24:16,2.2,160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/26/2015,2,8,160,4,8,125,2,10,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/28/2015,,,,,,,,,,,,,,,,,,,,,,,,,0:23:16,2.2,160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/29/2015,3,13,160,,,,,,,,,,,,,,,,,,,,,,0:19:48,2.2,160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/31/2015,1,13,160,,,,,,,,,,,,,,,,,,,,,,0:21:30,2.2,160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/2/2015,,,,,,,,,,,,,,,,,,,,,,,,,0:24:00,2.2,160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/4/2015,3,13,160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/5/2015,5,7,160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/8/2015,,,,4,8,125,2,10,85,2,5,85,,,,2,20,160,,,,,,,0:22:00,2.2,160,1,20,160,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/11/2015,,,,,,,,,,4,5,85,,,,,,,,,,,,,0:20:01,2.2,160,,,,4,5,75,4,10,75,,,,,,,,,,,,,,,,,,,,,
